MainID,Rogers et al. chaos tests,,,Determinism tests,,,Adjusted probability of chaos
,LE,RQA,PE,NPE,NPE class,KDE class,
9232,not chaotic,chaotic,chaotic,-0.2967327,stochastic,stochastic,0.0128419
9338,not chaotic,not chaotic,chaotic,0.8733602,deterministic,stochastic,0.154066
9381,not chaotic,not chaotic,chaotic,0.04898694,stochastic,deterministic,0.03635446
9382,not chaotic,not chaotic,not chaotic,-4.367716,stochastic,stochastic,0.001002322
9391,not chaotic,chaotic,not chaotic,NaN,NaN,stochastic,0.1379763
9393,chaotic,chaotic,not chaotic,NaN,NaN,deterministic,0.9646323
9404,not chaotic,chaotic,chaotic,NaN,NaN,stochastic,0.6748306
9469,chaotic,chaotic,not chaotic,0.3947048,stochastic,stochastic,0.4332313
9470,not chaotic,chaotic,not chaotic,-1.008867,stochastic,deterministic,0.03209148
9488,not chaotic,not chaotic,not chaotic,-0.4324639,stochastic,stochastic,0.001002322
9489,not chaotic,not chaotic,chaotic,-0.2306754,stochastic,stochastic,0.0128419
9490,not chaotic,not chaotic,chaotic,0.7650593,deterministic,deterministic,0.3456198
9491,not chaotic,not chaotic,chaotic,-0.1167173,stochastic,deterministic,0.03635446
9492,not chaotic,not chaotic,chaotic,NaN,NaN,stochastic,0.154066
9493,not chaotic,chaotic,chaotic,0.1023923,stochastic,deterministic,0.3006444
9494,not chaotic,chaotic,chaotic,0.3504458,stochastic,stochastic,0.0128419
9495,not chaotic,not chaotic,not chaotic,0.17087,stochastic,stochastic,0.001002322
9496,not chaotic,chaotic,chaotic,0.9140634,deterministic,stochastic,0.6748306
9497,not chaotic,not chaotic,not chaotic,0.4793908,stochastic,deterministic,0.002901208
9498,not chaotic,chaotic,chaotic,0.87385,deterministic,deterministic,0.857518
9499,not chaotic,not chaotic,chaotic,0.3019364,stochastic,stochastic,0.0128419
9500,not chaotic,not chaotic,chaotic,0.1753724,stochastic,stochastic,0.0128419
9501,not chaotic,chaotic,chaotic,0.8969439,deterministic,deterministic,0.857518
9502,not chaotic,not chaotic,not chaotic,0.6003437,stochastic,deterministic,0.002901208
9503,chaotic,not chaotic,chaotic,0.8212377,deterministic,deterministic,0.9687833
9517,not chaotic,not chaotic,not chaotic,0.7959951,deterministic,deterministic,0.03914069
9518,not chaotic,not chaotic,not chaotic,-0.08333386,stochastic,stochastic,0.001002322
9519,chaotic,not chaotic,chaotic,-0.2573418,stochastic,stochastic,0.4332313
9586,not chaotic,not chaotic,not chaotic,-0.7692674,stochastic,deterministic,0.002901208
9598,not chaotic,chaotic,chaotic,-1.170968,stochastic,deterministic,0.3006444
9612,chaotic,chaotic,not chaotic,0.2179266,stochastic,deterministic,0.146005
9643,not chaotic,chaotic,not chaotic,0.06300492,stochastic,stochastic,0.01130369
9646,not chaotic,not chaotic,chaotic,-7.613011,stochastic,deterministic,0.03635446
9688,not chaotic,chaotic,not chaotic,0.1776834,stochastic,deterministic,0.03209148
9689,not chaotic,chaotic,not chaotic,-1.034701,stochastic,NaN,0.03209148
9690,chaotic,not chaotic,chaotic,-0.5850023,stochastic,deterministic,0.6891249
9691,not chaotic,chaotic,chaotic,0.238798,stochastic,deterministic,0.3006444
9791,not chaotic,not chaotic,not chaotic,0.7506494,deterministic,stochastic,0.01385201
9792,not chaotic,not chaotic,not chaotic,-0.5247316,stochastic,stochastic,0.001002322
9793,not chaotic,not chaotic,not chaotic,0.1815947,stochastic,deterministic,0.002901208
9794,not chaotic,not chaotic,chaotic,0.1821464,stochastic,stochastic,0.0128419
9795,not chaotic,not chaotic,chaotic,0.6149499,stochastic,stochastic,0.0128419
